;Matricule;Annee_academique;Niveau;Cursus;Filiere;Age;Annee_naissance;Genre;Distance_domicile_ecole;Note_moy_CC_S1;Note_moy_SN_S1;Note_moy_CC_S2;Note_moy_SN_S2;Moyenne_S1;Moyenne_S2;Moyenne_annuelle;Nb_matieres_validees;Nb_credits_obtenus;Nb_matieres_non_validees;Nb_heures_cours_total;Nb_heures_presence;Nb_projets;Reussite;ratio_heure;encodage_dist_dom;prediction
491;20G26545;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;13,66;13,96;15,78;16,25;13,84;16,06;14,95;20;60;0;420;382;3;1;0,91;2;1
492;20G58015;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;15,02;18,32;16,19;17,36;17;16,89;16,95;20;60;0;420;398;3;1;0,95;2;1
493;20G14244;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;6,46;3,79;3,69;4,63;4,86;4,25;4,56;13;39;7;420;332;3;0;0,79;2;0
494;20G68972;2020/2021;1;ING;Tronc_commun;18;2002;F;5-15km;9,26;10,42;8,43;11,74;9,95;10,41;10,18;11;33;9;420;251;3;0;0,6;0;0
495;20G20077;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;3,22;7,96;6,65;5,55;6,07;5,99;6,03;8;24;12;420;172;3;0;0,41;2;0
496;20G58096;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;13,77;18,23;18,56;16,9;16,45;17,57;17,01;20;60;0;420;337;3;1;0,8;2;1
497;20G46528;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;16,72;16,37;17,47;13,9;16,51;15,33;15,92;20;60;0;420;363;3;1;0,86;2;1
498;20G34385;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;17,06;14,64;16,75;16,51;15,61;16,61;16,11;20;60;0;420;353;3;1;0,84;2;1
499;20G25435;2020/2021;1;ING;Tronc_commun;18;2002;F;>15km;12,38;9,84;9,6;10,5;10,86;10,14;10,5;18;54;2;420;399;3;1;0,95;2;1
500;20G68493;2020/2021;3;ING;GESI;20;2000;F;>15km;16,37;14,63;15,51;16,24;15,33;15,95;15,64;20;60;0;425;400;5;1;0,94;2;1
501;20G74382;2020/2021;3;ING;GCI;20;2000;M;<5km;5,42;10,39;5,66;9,64;8,4;8,05;8,22;10;30;10;440;226;4;0;0,51;2;0
502;20G69250;2020/2021;3;ING;GQHSE;20;2000;M;>15km;3,93;6,54;3,81;7,21;5,49;5,85;5,67;16;48;4;420;235;3;0;0,56;2;0
503;20G51889;2020/2021;3;ING;Météorologie;22;1998;M;>15km;11,56;9,98;9,97;11,97;10,61;11,17;10,89;20;60;0;415;342;3;1;0,82;2;1
504;20G81063;2020/2021;3;ING;GAM;21;1999;M;>15km;9,66;13,17;10,86;11,81;11,77;11,43;11,6;20;60;0;430;385;4;1;0,9;2;1
505;20G93584;2020/2021;3;ING;Météorologie;20;2000;M;<5km;10,68;13,35;9,1;10,98;12,28;10,23;11,25;18;54;2;415;337;3;1;0,81;2;1
506;20G36342;2020/2021;3;ING;GMP;20;2000;F;<5km;15,36;11,79;13,05;12,35;13,22;12,63;12,93;20;60;0;435;423;4;1;0,97;2;1
507;20G57303;2020/2021;3;ING;GESI;22;1998;F;5-15km;9,98;12,6;11,46;11,02;11,55;11,19;11,37;18;54;2;425;352;5;1;0,83;0;1
508;20G82305;2020/2021;3;ING;GESI;20;2000;M;<5km;11,5;12,21;12,6;12,52;11,93;12,55;12,24;20;60;0;425;346;5;1;0,81;2;1
509;20G50539;2020/2021;3;ING;GQHSE;21;1999;F;5-15km;17,1;16,27;12,64;13,63;16,6;13,23;14,92;20;60;0;420;406;3;1;0,97;0;1
510;20G85353;2020/2021;3;ING;GPR;20;2000;F;>15km;9,84;13,37;12,5;13,62;11,96;13,17;12,57;20;60;0;425;344;4;1;0,81;2;1
511;20G19720;2020/2021;3;ING;GQHSE;21;1999;F;<5km;11,98;9,38;10,79;11,65;10,42;11,31;10,86;20;60;0;420;373;3;1;0,89;2;1
512;20G82260;2020/2021;3;ING;GESI;22;1998;M;<5km;10,86;13,49;13,83;15,24;12,44;14,68;13,56;20;60;0;425;329;5;1;0,77;2;1
513;20G66704;2020/2021;3;ING;GIT;22;1998;M;>15km;12,96;12,92;12,65;10,25;12,94;11,21;12,08;20;60;0;430;380;5;1;0,88;2;1
514;20G30056;2020/2021;3;ING;GPR;21;1999;M;5-15km;16,01;15,65;12,69;16,52;15,79;14,99;15,39;20;60;0;425;343;4;1;0,81;0;1
515;20G39552;2020/2021;3;ING;GE;21;1999;F;<5km;15,39;13,6;14,8;12,54;14,31;13,45;13,88;20;60;0;435;393;4;1;0,9;2;1
516;20G42847;2020/2021;3;ING;GE;20;2000;F;<5km;6,38;6,81;8,37;7,32;6,64;7,74;7,19;14;42;6;435;304;4;0;0,7;2;0
517;20G91922;2020/2021;3;ING;GESI;21;1999;M;>15km;16,49;16,53;16,49;18,7;16,51;17,82;17,16;20;60;0;425;319;5;1;0,75;2;1
518;20G94015;2020/2021;3;ING;GESI;20;2000;M;<5km;14,78;15,9;12,93;16,29;15,46;14,94;15,2;20;60;0;425;327;5;1;0,77;2;1
519;20G96341;2020/2021;3;ING;GESI;22;1998;F;>15km;12,98;13,29;8,66;10,84;13,17;9,97;11,57;18;54;2;425;339;5;1;0,8;2;1
520;20G15399;2020/2021;3;ING;GCI;20;2000;M;>15km;10,4;10,48;11,46;13,83;10,45;12,88;11,67;20;60;0;440;391;4;1;0,89;2;1
521;20G85598;2020/2021;3;ING;GMP;21;1999;F;>15km;12,79;18,14;16,58;17,41;16;17,08;16,54;20;60;0;435;408;4;1;0,94;2;1
522;20G93753;2020/2021;3;ING;GQHSE;20;2000;F;>15km;17,18;16,37;17,55;18,83;16,7;18,32;17,51;20;60;0;420;386;3;1;0,92;2;1
523;20G49596;2020/2021;3;ING;GMP;21;1999;F;5-15km;11,51;14,03;15,78;15,09;13,02;15,37;14,19;20;60;0;435;380;4;1;0,87;0;1
524;20G69446;2020/2021;3;ING;GIT;20;2000;M;5-15km;10,99;14,63;12,48;14,09;13,17;13,45;13,31;20;60;0;430;367;5;1;0,85;0;1
525;20G64476;2020/2021;3;ING;GQHSE;21;1999;M;5-15km;13,28;16,57;14,18;15,25;15,26;14,82;15,04;20;60;0;420;377;3;1;0,9;0;1
526;20G89516;2020/2021;3;ING;Météorologie;20;2000;F;>15km;14,81;19,21;15,95;17,49;17,45;16,88;17,16;20;60;0;415;313;3;1;0,75;2;1
527;20G55268;2020/2021;3;ING;GPR;21;1999;F;>15km;11,92;10,69;11,86;15,04;11,18;13,77;12,48;20;60;0;425;329;4;1;0,77;2;1
528;20G83616;2020/2021;3;ING;Météorologie;20;2000;M;5-15km;15,16;17,39;14,42;14,91;16,5;14,71;15,61;20;60;0;415;326;3;1;0,79;0;1
529;20G26059;2020/2021;3;ING;GQHSE;21;1999;M;<5km;8,85;11,89;12,02;12,63;10,67;12,39;11,53;20;60;0;420;381;3;1;0,91;2;1
530;20G22689;2020/2021;3;ING;GAM;20;2000;F;>15km;9,41;10,43;9,22;11,46;10,02;10,56;10,29;20;60;0;430;375;4;1;0,87;2;1
531;20G64805;2020/2021;3;ING;GPR;20;2000;F;>15km;11,62;15;13,8;12,39;13,65;12,96;13,3;20;60;0;425;408;4;1;0,96;2;1
532;20G50988;2020/2021;3;ING;GPR;20;2000;F;>15km;7,58;8,75;8,66;12,27;8,28;10,82;9,55;10;30;10;425;318;4;0;0,75;2;0
533;20G71186;2020/2021;3;ING;GAM;21;1999;F;<5km;9,89;11,59;10,43;9,79;10,91;10,04;10,48;20;60;0;430;407;4;1;0,95;2;1
534;20G21802;2020/2021;3;ING;GE;21;1999;F;<5km;16,61;17,71;16,16;15,61;17,27;15,83;16,55;20;60;0;435;387;4;1;0,89;2;1
535;20G38199;2020/2021;3;ING;Météorologie;22;1998;M;<5km;11,65;10,18;11,75;10,43;10,77;10,96;10,86;20;60;0;415;322;3;1;0,78;2;1
536;20G46877;2020/2021;3;ING;GESI;21;1999;F;5-15km;8,33;12,92;11,98;11,9;11,08;11,93;11,51;18;54;2;425;334;5;1;0,79;0;1
537;20G80345;2020/2021;3;ING;GCI;20;2000;F;<5km;8,09;9,5;12,16;9,88;8,93;10,79;9,86;20;60;0;440;365;4;1;0,83;2;1
538;20G57943;2020/2021;3;ING;Météorologie;21;1999;M;5-15km;9,08;11,44;10,94;10,07;10,49;10,42;10,46;20;60;0;415;316;3;1;0,76;0;1
539;20G16705;2020/2021;3;ING;GE;22;1998;M;5-15km;3,71;4,62;8,07;7;4,26;7,43;5,84;12;36;8;435;270;4;0;0,62;0;0
540;20G47827;2020/2021;3;ING;GM;20;2000;F;>15km;12,47;14,03;13,81;14,84;13,41;14,43;13,92;20;60;0;440;347;4;1;0,79;2;1
541;20G46663;2020/2021;3;ING;GESI;22;1998;M;<5km;13,06;16,35;14,16;14,66;15,04;14,46;14,75;20;60;0;425;330;5;1;0,78;2;1
542;20G22672;2020/2021;3;ING;Météorologie;21;1999;F;>15km;12,43;14,53;12,56;16,31;13,69;14,81;14,25;20;60;0;415;330;3;1;0,8;2;1
543;20G57920;2020/2021;3;ING;GMP;20;2000;F;>15km;14,61;12,16;12,67;13,23;13,14;13,01;13,07;20;60;0;435;328;4;1;0,75;2;1
544;20G15276;2020/2021;3;ING;GIT;20;2000;M;>15km;13,69;16,71;16,15;17,48;15,5;16,95;16,23;20;60;0;430;390;5;1;0,91;2;1
545;20G53652;2020/2021;3;ING;GE;21;1999;F;<5km;9,08;13,64;11,7;14,21;11,82;13,21;12,51;20;60;0;435;408;4;1;0,94;2;1
546;20G89463;2020/2021;3;ING;GPR;22;1998;F;>15km;16,17;16,41;17,7;17;16,32;17,28;16,8;20;60;0;425;336;4;1;0,79;2;1
547;20G51750;2020/2021;3;ING;GM;20;2000;F;>15km;18,25;17,17;14,22;16,78;17,6;15,75;16,68;20;60;0;440;411;4;1;0,93;2;1
548;20G54089;2020/2021;3;ING;GE;22;1998;F;>15km;15,23;15,53;18,6;17,08;15,41;17,69;16,55;20;60;0;435;380;4;1;0,87;2;1
549;20G83783;2020/2021;3;ING;GQHSE;21;1999;M;5-15km;15,08;18,5;15,12;17,34;17,13;16,45;16,79;20;60;0;420;392;3;1;0,93;0;1
550;20G53416;2020/2021;3;ING;GCI;22;1998;F;>15km;15,45;14,26;12,07;12,57;14,74;12,37;13,55;20;60;0;440;365;4;1;0,83;2;1
551;20G50327;2020/2021;3;ING;GIT;22;1998;F;5-15km;2,61;5,42;4,98;7,53;4,29;6,51;5,4;13;39;7;430;284;5;0;0,66;0;0
552;20G95929;2020/2021;3;ING;GESI;22;1998;M;>15km;12,71;14,76;15,98;16,09;13,94;16,05;14,99;20;60;0;425;319;5;1;0,75;2;1
553;20G16731;2020/2021;3;ING;GQHSE;22;1998;M;>15km;17,3;17,18;13,77;18,27;17,23;16,47;16,85;20;60;0;420;371;3;1;0,88;2;1
554;20G92447;2020/2021;3;ING;GESI;22;1998;F;<5km;9,12;10,43;7,72;6,46;9,91;6,96;8,44;13;39;7;425;284;5;0;0,67;2;0
555;20G99224;2020/2021;3;ING;GIT;20;2000;M;<5km;15,68;13,81;12,94;17,42;14,56;15,62;15,09;20;60;0;430;396;5;1;0,92;2;1
556;20G12482;2020/2021;3;ING;Météorologie;21;1999;F;<5km;18,06;18,09;17,54;19,48;18,08;18,7;18,39;20;60;0;415;366;3;1;0,88;2;1
557;20G64127;2020/2021;3;ING;GMP;22;1998;F;>15km;12,84;15,43;15,64;14,41;14,39;14,9;14,65;20;60;0;435;346;4;1;0,8;2;1
558;20G90147;2020/2021;3;ING;GIT;21;1999;M;>15km;10,72;11,59;11,63;15,05;11,24;13,68;12,46;20;60;0;430;372;5;1;0,87;2;1
559;20G37176;2020/2021;3;ING;Météorologie;22;1998;F;>15km;8,89;12,98;10,42;13,61;11,35;12,33;11,84;19;57;1;415;374;3;1;0,9;2;1
560;20G59391;2020/2021;3;ING;GPR;21;1999;F;>15km;14,73;17,83;14,69;19,07;16,59;17,32;16,95;20;60;0;425;380;4;1;0,89;2;1
561;20G54869;2020/2021;3;ING;Météorologie;22;1998;F;>15km;10,94;11,55;13,07;11,69;11,31;12,24;11,77;18;54;2;415;368;3;1;0,89;2;1
562;20G73462;2020/2021;3;ING;GMP;20;2000;F;>15km;12,43;14,19;13,01;13,92;13,49;13,56;13,52;20;60;0;435;345;4;1;0,79;2;1
563;20G49124;2020/2021;3;ING;GAM;20;2000;F;>15km;11,29;10,55;10,04;8,86;10,85;9,33;10,09;19;57;1;430;348;4;1;0,81;2;1
564;20G37168;2020/2021;3;ING;GQHSE;22;1998;F;5-15km;11,75;9,49;10,38;8,46;10,39;9,23;9,81;20;60;0;420;379;3;1;0,9;0;1
565;20G55718;2020/2021;3;ING;GAM;22;1998;F;<5km;14,07;15,02;11,21;15,09;14,64;13,54;14,09;20;60;0;430;421;4;1;0,98;2;1
566;20G85166;2020/2021;3;ING;GE;22;1998;F;5-15km;17,83;15,85;16,49;14,94;16,64;15,56;16,1;20;60;0;435;335;4;1;0,77;0;1
567;20G55237;2020/2021;3;ING;GAM;20;2000;M;5-15km;16,62;18,99;19,02;19,43;18,04;19,27;18,66;20;60;0;430;421;4;1;0,98;0;1
568;20G20358;2020/2021;3;ING;GQHSE;21;1999;F;>15km;9,13;11,99;9,58;10,04;10,85;9,86;10,35;18;54;2;420;349;3;1;0,83;2;1
569;20G72793;2020/2021;3;ING;GMP;20;2000;F;>15km;16,1;15,83;16,54;15,43;15,94;15,87;15,91;20;60;0;435;327;4;1;0,75;2;1
570;20G45601;2020/2021;3;ING;GCI;20;2000;M;<5km;16,23;17,93;13,31;18,3;17,25;16,3;16,78;20;60;0;440;392;4;1;0,89;2;1
571;20G16653;2020/2021;3;ING;GE;22;1998;M;>15km;7,07;9,51;6,85;7,81;8,54;7,42;7,98;11;33;9;435;346;4;0;0,8;2;0
572;20G40518;2020/2021;3;ING;GCI;20;2000;F;5-15km;15,27;17,59;15;15,2;16,66;15,12;15,89;20;60;0;440;390;4;1;0,89;0;1
573;20G71918;2020/2021;3;ING;GPR;20;2000;M;>15km;19,07;16,99;17,06;16,39;17,82;16,66;17,24;20;60;0;425;416;4;1;0,98;2;1
574;20G30701;2020/2021;3;ING;GQHSE;21;1999;F;>15km;18,1;19,19;18,42;18,31;18,75;18,36;18,55;20;60;0;420;320;3;1;0,76;2;1
575;20G36143;2020/2021;3;ING;Météorologie;21;1999;F;>15km;14,01;15,03;12,5;16,35;14,62;14,81;14,71;20;60;0;415;327;3;1;0,79;2;1
576;20G17754;2020/2021;3;ING;GESI;20;2000;M;>15km;14,46;15,49;14,25;13,38;15,08;13,73;14,4;20;60;0;425;334;5;1;0,79;2;1
577;20G14888;2020/2021;3;ING;GM;20;2000;M;<5km;7,35;5,83;7,98;7,48;6,44;7,68;7,06;16;48;4;440;293;4;0;0,67;2;0
578;20G62034;2020/2021;3;ING;GPR;21;1999;F;<5km;14,55;14,79;17,59;17,75;14,7;17,69;16,19;20;60;0;425;387;4;1;0,91;2;1
579;20G11214;2020/2021;3;ING;GESI;21;1999;M;5-15km;17,72;19,51;16,38;17,15;18,79;16,84;17,82;20;60;0;425;358;5;1;0,84;0;1
580;20G47298;2020/2021;3;ING;GE;21;1999;F;<5km;11,09;10,61;12,84;12,15;10,81;12,42;11,61;18;54;2;435;385;4;1;0,89;2;1
581;20G76088;2020/2021;3;ING;GAM;21;1999;M;<5km;2,41;3,28;4,63;3,6;2,93;4,01;3,47;17;51;3;430;276;4;0;0,64;2;0
582;20G53343;2020/2021;3;ING;GQHSE;20;2000;F;>15km;18,46;18,31;15,1;19,32;18,37;17,63;18;20;60;0;420;400;3;1;0,95;2;1
583;20G34405;2020/2021;3;ING;Météorologie;20;2000;F;>15km;12,26;11,01;12,59;14,56;11,51;13,77;12,64;20;60;0;415;314;3;1;0,76;2;1
584;20G98395;2020/2021;3;ING;GPR;20;2000;F;5-15km;17,29;19,87;16,5;19,26;18,84;18,16;18,5;20;60;0;425;324;4;1;0,76;0;1
585;20G77538;2020/2021;3;ING;GCI;21;1999;F;>15km;10,02;15,56;13,77;14,94;13,34;14,47;13,91;20;60;0;440;424;4;1;0,96;2;1
586;20G22502;2020/2021;3;ING;GPR;20;2000;F;5-15km;9,8;9,04;8,99;9,83;9,34;9,49;9,42;18;54;2;425;364;4;1;0,86;0;1
587;20G42512;2020/2021;3;ING;GAM;20;2000;F;<5km;9,65;10,99;9,88;15,01;10,45;12,96;11,71;18;54;2;430;397;4;1;0,92;2;1
588;20G68554;2020/2021;3;ING;Météorologie;21;1999;F;>15km;16,94;16,93;18,73;17,13;16,93;17,77;17,35;20;60;0;415;339;3;1;0,82;2;1
589;20G85088;2020/2021;3;ING;GAM;20;2000;F;>15km;9,51;11,14;10,64;13,23;10,49;12,19;11,34;19;57;1;430;328;4;1;0,76;2;1
590;20G40972;2020/2021;3;ING;GCI;20;2000;F;5-15km;6,1;3,12;3,3;7,43;4,31;5,78;5,04;8;24;12;440;203;4;0;0,46;0;0
591;20G30934;2020/2021;3;ING;GE;21;1999;F;>15km;10,26;10,17;10,63;12,68;10,21;11,86;11,03;19;57;1;435;339;4;1;0,78;2;1
592;20G25389;2020/2021;3;ING;GAM;22;1998;F;>15km;14,17;13,37;14,77;14,01;13,69;14,31;14;20;60;0;430;370;4;1;0,86;2;1
593;20G38947;2020/2021;3;ING;GPR;20;2000;F;<5km;10,14;10,19;11,83;8,94;10,17;10,1;10,13;18;54;2;425;359;4;1;0,84;2;1
594;20G69634;2020/2021;3;ING;GESI;22;1998;F;5-15km;14,29;14,54;14;15,55;14,44;14,93;14,69;20;60;0;425;403;5;1;0,95;0;1
595;20G81989;2020/2021;3;ING;GE;21;1999;M;<5km;12,2;14,71;14,46;14,96;13,71;14,76;14,23;20;60;0;435;363;4;1;0,83;2;1
596;20G99173;2020/2021;3;ING;GCI;22;1998;F;>15km;4,09;6,6;4,11;5,05;5,6;4,67;5,13;8;24;12;440;323;4;0;0,73;2;0
597;20G57419;2020/2021;3;ING;GESI;20;2000;M;<5km;7,29;5,57;4,1;5,86;6,26;5,15;5,71;13;39;7;425;299;5;0;0,7;2;0
598;20G81781;2020/2021;3;ING;GMP;22;1998;M;<5km;8,99;13,77;8,89;11,85;11,86;10,66;11,26;20;60;0;435;384;4;1;0,88;2;1
599;20G53007;2020/2021;3;ING;GQHSE;22;1998;M;>15km;14,14;13,07;13,68;13,78;13,5;13,74;13,62;20;60;0;420;378;3;1;0,9;2;1
600;20G36922;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;<5km;4,26;2,94;2,51;3,15;3,47;2,89;3,18;10;30;10;420;198;3;0;0,47;2;0
601;20G76895;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;5-15km;15,03;19,24;18,46;17,46;17,56;17,86;17,71;20;60;0;420;328;3;1;0,78;0;1
602;20G27294;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;5-15km;13,99;12,83;10,43;13,78;13,29;12,44;12,87;20;60;0;420;396;3;1;0,94;0;1
603;20G83912;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;>15km;14,24;17,73;14,47;15,46;16,34;15,06;15,7;20;60;0;420;399;3;1;0,95;2;1
604;20G50392;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;5-15km;10,31;10;13,35;13,96;10,13;13,72;11,92;19;57;1;420;375;3;1;0,89;0;1
605;20G43352;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;>15km;13,76;16,29;14,76;14,47;15,28;14,59;14,93;20;60;0;420;361;3;1;0,86;2;1
606;20G19572;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;5-15km;14,57;16,72;15,4;16,47;15,86;16,04;15,95;16;48;4;420;402;3;1;0,96;0;1
607;20G18357;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;<5km;13,08;15,55;11,52;14,18;14,56;13,12;13,84;20;60;0;420;356;3;1;0,85;2;1
608;20G71875;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;5-15km;16,77;16,62;13,76;16,91;16,68;15,65;16,17;20;60;0;420;331;3;1;0,79;0;1
609;20G33590;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;5-15km;8,87;9,95;10,17;11,32;9,51;10,86;10,19;20;60;0;420;402;3;1;0,96;0;1
610;20G60132;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;5-15km;13,59;12,33;11,25;14,83;12,83;13,4;13,12;20;60;0;420;357;3;1;0,85;0;1
611;20G20518;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;>15km;14,52;14,84;15,96;15,9;14,71;15,92;15,32;20;60;0;420;319;3;1;0,76;2;1
612;20G55582;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;>15km;13,35;16,84;14,2;14,66;15,44;14,48;14,96;20;60;0;420;351;3;1;0,84;2;1
613;20G61518;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;>15km;15,37;18,17;14,04;18,28;17,05;16,58;16,81;19;57;1;420;337;3;1;0,8;2;1
614;20G39188;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;5-15km;15,25;18,06;14,36;13,75;16,94;13,99;15,47;19;57;1;420;316;3;1;0,75;0;1
615;20G70686;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;>15km;16,24;18,49;14,79;16,34;17,59;15,72;16,65;20;60;0;420;317;3;1;0,75;2;1
616;20G59712;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;5-15km;18,03;19,71;16,02;18,33;19,04;17,4;18,22;20;60;0;420;380;3;1;0,9;0;1
617;20G55371;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;<5km;13,78;15,28;13,96;14,24;14,68;14,13;14,4;20;60;0;420;341;3;1;0,81;2;1
618;20G24790;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;>15km;7,44;2,72;5,96;6,9;4,61;6,52;5,57;13;39;7;420;272;3;0;0,65;2;0
619;20G12050;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;<5km;16,48;17,31;15,32;17,73;16,98;16,76;16,87;20;60;0;420;340;3;1;0,81;2;1
620;20G23224;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;5-15km;13,92;15,42;10,68;12,61;14,82;11,84;13,33;20;60;0;420;404;3;1;0,96;0;1
621;20G88352;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;<5km;0,92;2,34;3,94;2,27;1,77;2,93;2,35;9;27;11;420;330;3;0;0,79;2;0
622;20G15798;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;<5km;13,08;12,81;12,93;14,88;12,92;14,1;13,51;20;60;0;420;387;3;1;0,92;2;1
623;20G80747;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;<5km;15,92;18,55;17,12;17,82;17,5;17,54;17,52;20;60;0;420;320;3;1;0,76;2;1
624;20G76046;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;>15km;8,86;11,37;9,67;10,07;10,37;9,91;10,14;18;54;2;420;400;3;1;0,95;2;1
625;20G85511;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;<5km;18,71;16,68;17,62;16,48;17,49;16,93;17,21;20;60;0;420;333;3;1;0,79;2;1
626;20G49552;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;5-15km;10,19;11,63;12,63;10,08;11,05;11,1;11,07;18;54;2;420;385;3;1;0,92;0;1
627;20G49387;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;>15km;12,69;14,72;12,75;15,23;13,91;14,24;14,07;16;48;4;420;356;3;1;0,85;2;1
628;20G87550;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;>15km;8,9;12,05;12,83;11,04;10,79;11,75;11,27;20;60;0;420;385;3;1;0,92;2;1
629;20G98965;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;<5km;16,93;17,37;15,1;16,55;17,2;15,97;16,58;15;45;5;420;401;3;1;0,95;2;1
630;20G55143;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;>15km;11,83;11,25;14,33;15,2;11,48;14,85;13,17;20;60;0;420;325;3;1;0,77;2;1
631;20G51777;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;5-15km;6,19;5,12;9,29;5,69;5,54;7,13;6,34;12;36;8;420;179;3;0;0,43;0;0
632;20G29558;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;<5km;15,45;12,92;15,05;15,42;13,93;15,27;14,6;18;54;2;420;324;3;1;0,77;2;1
633;20G80507;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;<5km;11,22;10,86;13,07;13,47;11,01;13,31;12,16;20;60;0;420;410;3;1;0,98;2;1
634;20G49418;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;5-15km;7,35;5,12;3,62;2,83;6,01;3,15;4,58;14;42;6;420;176;3;0;0,42;0;0
635;20G17552;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;5-15km;14,83;14,67;15,61;14,8;14,73;15,12;14,93;20;60;0;420;370;3;1;0,88;0;1
636;20G83044;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;5-15km;13,99;14,98;12,26;12,63;14,58;12,48;13,53;19;57;1;420;350;3;1;0,83;0;1
637;20G41831;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;5-15km;15,09;15,49;13,87;16,78;15,33;15,62;15,47;20;60;0;420;361;3;1;0,86;0;1
638;20G94765;2020/2021;1;SCI ING;Tronc_commun;17;2003;F;5-15km;14,83;16,63;17,77;18,85;15,91;18,41;17,16;20;60;0;420;352;3;1;0,84;0;1
639;20G22119;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;<5km;12,19;16,34;11,27;16,34;14,68;14,31;14,49;20;60;0;420;381;3;1;0,91;2;1
640;20G45187;2020/2021;1;SCI ING;Tronc_commun;18;2002;M;<5km;3,33;6,99;5,58;5,1;5,53;5,3;5,41;8;24;12;420;278;3;0;0,66;2;0
641;20G34662;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;5-15km;17,58;18,79;15,11;17,54;18,31;16,57;17,44;20;60;0;420;326;3;1;0,78;0;1
642;20G37379;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;<5km;16,59;16,21;12,29;14,68;16,36;13,72;15,04;15;45;5;420;368;3;1;0,88;2;1
643;20G37762;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;>15km;14,39;15,3;13,28;13,09;14,94;13,17;14,05;15;45;5;420;339;3;1;0,81;2;1
644;20G72773;2020/2021;1;SCI ING;Tronc_commun;17;2003;M;5-15km;9,72;10,91;11,28;12,14;10,44;11,79;11,11;19;57;1;420;321;3;1;0,76;0;1
645;20G41369;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;5-15km;11,07;11,95;14,3;11,37;11,6;12,54;12,07;18;54;2;420;355;3;1;0,85;0;1
646;20G59894;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;5-15km;12,74;12,13;9,5;11,86;12,38;10,92;11,65;20;60;0;420;385;3;1;0,92;0;1
647;20G44283;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;5-15km;15,77;19,51;19,34;19,64;18,01;19,52;18,76;20;60;0;420;376;3;1;0,9;0;1
648;20G22924;2020/2021;1;SCI ING;Tronc_commun;19;2001;F;5-15km;6,14;9,23;6,9;8,78;7,99;8,03;8,01;11;33;9;420;239;3;0;0,57;0;0
649;20G36624;2020/2021;1;SCI ING;Tronc_commun;18;2002;F;5-15km;16,97;14,58;17,02;16,55;15,54;16,74;16,14;20;60;0;420;396;3;1;0,94;0;1
650;20G15992;2020/2021;1;SCI ING;Tronc_commun;19;2001;M;>15km;12,35;16,03;11,71;15,67;14,55;14,09;14,32;20;60;0;420;361;3;1;0,86;2;1
