Matricule,Annee_academique,Niveau,Cursus,Filiere,Age,Annee_naissance,Genre,Distance_domicile_ecole,Travaille,Note_moy_CC_S1,Note_moy_SN_S1,Note_moy_CC_S2,Note_moy_SN_S2,Moyenne_S1,Moyenne_S2,Moyenne_annuelle,Nb_matieres_validees,Nb_credits_obtenus,Nb_matieres_non_validees,Nb_heures_cours_total,Nb_heures_presence,Nb_projets,Reussite
20G44995,2022/2023,3,ING,GPR,20,2002,F,>15km,NON,10.41,11.28,8.15,10.11,10.93,9.32,10.13,16,48,4,425,216,4,0
20G85088,2022/2023,2,ING,Tronc_commun,19,2003,F,>15km,NON,7.48,10.81,9.75,11.39,9.48,10.74,10.11,10,30,10,420,187,3,0
20G57127,2022/2023,3,ING,GQHSE,21,2001,M,<5km,OUI,16.44,16.69,13.3,13.91,16.59,13.67,15.13,19,57,1,420,324,4,1
20G97528,2022/2023,3,ING,GMP,19,2003,F,5-15km,NON,16.65,14.51,14.75,16.4,15.36,15.74,15.55,19,57,1,435,351,4,1
20G30934,2022/2023,3,ING,GE,20,2002,F,>15km,NON,16.26,19.34,17.5,16.58,18.11,16.95,17.53,19,57,1,435,343,4,1
20G25389,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,11.17,10.2,9.57,9.23,10.59,9.37,9.98,20,60,0,420,384,3,1
20G90560,2022/2023,2,ING,Tronc_commun,19,2003,M,<5km,NON,14.47,15.36,14.59,12.65,15.0,13.42,14.21,19,57,1,420,397,3,1
20G72676,2022/2023,3,ING,GM,19,2003,F,>15km,NON,7.01,5.34,5.09,8.06,6.01,6.87,6.44,18,54,2,440,201,4,0
20G89395,2022/2023,3,ING,GMP,20,2002,F,>15km,NON,15.56,18.54,17.58,17.24,17.35,17.38,17.36,18,54,2,435,381,4,1
20G81989,2022/2023,3,ING,GESI,20,2002,M,<5km,NON,6.56,7.37,4.16,6.3,7.05,5.44,6.25,10,30,10,425,277,5,0
20G99173,2022/2023,3,ING,Météorologie,21,2001,M,>15km,OUI,11.9,12.4,11.99,11.67,12.2,11.8,12.0,18,54,2,415,303,4,1
20G68556,2022/2023,3,ING,Météorologie,21,2001,F,<5km,OUI,14.29,11.19,10.65,13.07,12.43,12.1,12.27,19,57,1,415,331,4,1
20G83946,2022/2023,3,ING,GCI,19,2003,M,>15km,NON,16.57,18.07,14.68,16.82,17.47,15.97,16.72,20,60,0,440,401,4,1
20G76255,2022/2023,3,ING,GPR,19,2003,M,<5km,NON,11.02,12.45,10.35,12.31,11.87,11.52,11.7,19,57,1,425,400,4,1
20G53007,2022/2023,2,ING,Tronc_commun,21,2001,F,<5km,OUI,15.74,15.43,13.13,13.26,15.55,13.21,14.38,18,54,2,420,318,3,1
20G99167,2022/2023,3,ING,GESI,19,2003,F,<5km,NON,12.97,13.65,13.53,11.82,13.38,12.5,12.94,19,57,1,425,404,5,1
20G76895,2022/2023,3,ING,GESI,20,2002,M,5-15km,NON,14.71,17.61,14.45,17.68,16.45,16.39,16.42,20,60,0,425,329,5,1
20G27294,2022/2023,3,ING,GM,21,2001,F,5-15km,NON,13.72,13.63,11.7,14.21,13.67,13.21,13.44,19,57,1,440,419,4,1
20G83912,2022/2023,3,ING,GCI,19,2003,F,>15km,OUI,8.12,10.42,8.74,11.34,9.5,10.3,9.9,20,60,0,440,368,4,1
20G50392,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,OUI,14.17,12.79,13.42,14.07,13.34,13.81,13.57,20,60,0,420,310,3,1
20G43352,2022/2023,3,ING,GIT,19,2003,M,>15km,NON,12.9,11.16,10.44,14.12,11.85,12.65,12.25,20,60,0,430,347,5,1
20G19572,2022/2023,2,ING,Tronc_commun,19,2003,F,5-15km,NON,19.51,16.61,17.1,19.85,17.77,18.75,18.26,19,57,1,420,343,3,1
20G18357,2022/2023,3,ING,GESI,21,2001,M,<5km,NON,10.26,7.34,7.57,10.68,8.51,9.44,8.97,19,57,1,425,228,5,0
20G71875,2022/2023,3,ING,Météorologie,19,2003,F,5-15km,OUI,3.61,2.51,2.7,4.19,2.95,3.6,3.27,19,57,1,415,229,4,0
20G33590,2022/2023,1,ING,Tronc_commun,19,2003,F,5-15km,NON,15.19,14.68,15.52,14.91,14.88,15.16,15.02,19,57,1,420,409,3,1
20G60132,2022/2023,3,ING,Météorologie,20,2002,F,5-15km,NON,12.43,12.38,12.97,12.65,12.4,12.77,12.58,20,60,0,415,345,4,1
20G20518,2022/2023,1,ING,Tronc_commun,21,2001,M,>15km,NON,10.77,12.7,11.71,14.47,11.93,13.36,12.65,19,57,1,420,365,3,1
20G55582,2022/2023,3,ING,Météorologie,19,2003,M,>15km,NON,6.11,5.97,7.36,6.48,6.03,6.83,6.43,8,24,12,415,293,4,0
20G61518,2022/2023,3,ING,GCI,21,2001,M,>15km,NON,13.26,16.17,15.1,13.15,15.01,13.93,14.47,20,60,0,440,381,4,1
20G39188,2022/2023,3,ING,GCI,19,2003,M,5-15km,NON,10.43,11.66,11.65,12.43,11.17,12.12,11.64,20,60,0,440,429,4,1
20G70686,2022/2023,2,ING,Tronc_commun,21,2001,F,>15km,NON,4.83,7.01,5.89,4.37,6.14,4.98,5.56,15,45,5,420,178,3,0
20G59712,2022/2023,2,ING,Tronc_commun,19,2003,M,5-15km,NON,13.41,13.94,14.95,15.61,13.73,15.35,14.54,18,54,2,420,372,3,1
20G55371,2022/2023,2,ING,Tronc_commun,19,2003,F,<5km,NON,14.96,14.62,11.34,12.19,14.75,11.85,13.3,19,57,1,420,355,3,1
20G24790,2022/2023,2,ING,Tronc_commun,19,2003,F,>15km,NON,16.82,17.0,15.56,15.74,16.93,15.67,16.3,19,57,1,420,333,3,1
20G12050,2022/2023,3,ING,GE,19,2003,M,<5km,NON,16.38,18.39,16.39,18.52,17.59,17.67,17.63,19,57,1,435,391,4,1
20G23224,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,NON,12.47,13.09,15.12,14.48,12.84,14.73,13.79,20,60,0,420,359,3,1
20G88352,2022/2023,3,ING,GCI,21,2001,M,<5km,NON,12.59,13.92,13.42,13.11,13.39,13.24,13.31,19,57,1,440,406,4,1
20G15798,2022/2023,3,ING,GAM,20,2002,F,<5km,NON,13.01,13.66,15.27,15.6,13.4,15.47,14.43,20,60,0,430,354,4,1
20G80747,2022/2023,2,ING,Tronc_commun,19,2003,M,<5km,NON,15.79,15.27,16.69,17.25,15.48,17.02,16.25,19,57,1,420,411,3,1
20G76046,2022/2023,2,ING,Tronc_commun,20,2002,M,>15km,NON,12.61,14.12,11.65,13.2,13.51,12.58,13.05,19,57,1,420,403,3,1
20G85511,2022/2023,1,ING,Tronc_commun,20,2002,F,<5km,NON,14.72,12.81,14.19,14.64,13.57,14.46,14.02,15,45,5,420,320,3,1
20G49552,2022/2023,3,ING,GPR,19,2003,M,5-15km,NON,11.97,13.89,12.9,13.01,13.12,12.97,13.04,19,57,1,425,359,4,1
20G49387,2022/2023,2,ING,Tronc_commun,20,2002,M,>15km,NON,10.23,10.69,11.69,14.23,10.5,13.22,11.86,19,57,1,420,315,3,1
20G87550,2022/2023,3,ING,GQHSE,21,2001,M,>15km,NON,16.48,18.79,16.99,17.67,17.87,17.4,17.63,20,60,0,420,396,4,1
20G98965,2022/2023,2,ING,Tronc_commun,20,2002,F,<5km,NON,14.6,17.17,14.78,16.47,16.14,15.79,15.97,19,57,1,420,331,3,1
20G55143,2022/2023,3,ING,GM,21,2001,F,>15km,NON,11.4,10.49,11.7,11.58,10.86,11.63,11.24,19,57,1,440,336,4,1
20G51777,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,15.53,17.19,16.71,15.02,16.52,15.7,16.11,20,60,0,420,404,3,1
20G29558,2022/2023,3,ING,GESI,20,2002,F,<5km,OUI,13.14,12.42,12.51,13.96,12.71,13.38,13.04,19,57,1,425,248,5,1
20G80507,2022/2023,2,ING,Tronc_commun,20,2002,M,<5km,NON,13.6,12.76,14.72,14.88,13.1,14.81,13.95,19,57,1,420,348,3,1
20G49418,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,NON,13.36,15.02,14.23,15.19,14.35,14.81,14.58,18,54,2,420,375,3,1
20G17552,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,14.7,15.68,14.27,16.64,15.29,15.69,15.49,18,54,2,420,325,3,1
20G83044,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,NON,10.44,12.39,11.95,9.93,11.61,10.74,11.18,18,54,2,420,411,3,1
20G41831,2022/2023,3,ING,GCI,20,2002,M,5-15km,NON,4.34,7.02,4.24,6.23,5.95,5.43,5.69,11,33,9,440,184,4,0
20G94765,2022/2023,3,ING,GQHSE,19,2003,F,5-15km,NON,12.67,13.28,13.08,13.36,13.03,13.25,13.14,19,57,1,420,318,4,1
20G22119,2022/2023,3,ING,Météorologie,21,2001,M,<5km,NON,7.14,7.53,4.32,7.26,7.38,6.08,6.73,18,54,2,415,282,4,0
20G45187,2022/2023,3,ING,GESI,20,2002,M,<5km,OUI,11.26,13.31,12.09,10.55,12.49,11.17,11.83,20,60,0,425,290,5,1
20G34662,2022/2023,3,ING,GM,21,2001,M,5-15km,NON,16.74,14.04,14.93,17.67,15.12,16.57,15.85,19,57,1,440,381,4,1
20G37379,2022/2023,2,ING,Tronc_commun,20,2002,F,<5km,NON,8.43,9.71,10.2,8.95,9.2,9.45,9.32,9,27,11,420,295,3,0
20G37762,2022/2023,3,ING,GPR,19,2003,M,>15km,OUI,10.02,10.46,7.85,8.77,10.29,8.4,9.34,19,57,1,425,332,4,1
20G72773,2022/2023,3,ING,GAM,19,2003,M,5-15km,NON,11.71,13.18,13.46,15.23,12.59,14.52,13.56,19,57,1,430,420,4,1
20G41369,2022/2023,3,ING,GPR,21,2001,F,5-15km,NON,15.07,14.28,15.3,16.17,14.6,15.82,15.21,20,60,0,425,415,4,1
20G59894,2022/2023,3,ING,GESI,20,2002,F,5-15km,NON,8.63,7.06,7.17,7.87,7.69,7.59,7.64,17,51,3,425,206,5,0
20G44283,2022/2023,3,ING,GPR,20,2002,F,5-15km,NON,13.3,13.11,14.23,16.42,13.19,15.54,14.36,18,54,2,425,415,4,1
20G22924,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,16.16,16.97,16.52,16.2,16.64,16.33,16.48,20,60,0,420,324,3,1
20G36624,2022/2023,1,ING,Tronc_commun,20,2002,F,5-15km,NON,15.54,16.25,15.59,17.83,15.96,16.93,16.45,18,54,2,420,348,3,1
20G15992,2022/2023,2,ING,Tronc_commun,21,2001,M,>15km,NON,9.06,9.19,9.29,10.01,9.14,9.72,9.43,19,57,1,420,353,3,1
20G29126,2022/2023,2,ING,Tronc_commun,19,2003,F,>15km,NON,13.54,12.69,11.12,10.84,13.03,10.95,11.99,18,54,2,420,394,3,1
20G86550,2022/2023,3,ING,GE,21,2001,F,5-15km,NON,12.93,11.23,10.72,12.5,11.91,11.78,11.84,20,60,0,435,409,4,1
20G29976,2022/2023,3,ING,GM,19,2003,F,<5km,OUI,9.93,8.29,7.28,10.42,8.95,9.16,9.05,20,60,0,440,282,4,1
20G59786,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,NON,10.26,13.98,11.37,11.9,12.49,11.69,12.09,19,57,1,420,337,3,1
20G82173,2022/2023,3,ING,GESI,21,2001,F,5-15km,NON,11.02,11.68,11.33,9.27,11.42,10.09,10.75,19,57,1,425,337,5,1
20G74044,2022/2023,3,ING,GMP,21,2001,F,5-15km,NON,14.31,15.55,12.52,13.34,15.05,13.01,14.03,18,54,2,435,355,4,1
20G32050,2022/2023,3,ING,GE,21,2001,F,<5km,NON,13.13,12.94,14.64,12.76,13.02,13.51,13.26,20,60,0,435,363,4,1
20G28344,2022/2023,3,ING,GMP,21,2001,F,<5km,NON,18.64,16.87,17.95,19.24,17.58,18.72,18.15,18,54,2,435,416,4,1
20G81058,2022/2023,3,ING,Météorologie,21,2001,M,>15km,NON,13.43,16.25,12.51,13.4,15.13,13.04,14.08,20,60,0,415,342,4,1
20G14433,2022/2023,3,ING,GAM,19,2003,M,<5km,NON,11.43,11.06,12.04,12.81,11.21,12.5,11.86,19,57,1,430,416,4,1
20G64053,2022/2023,1,ING,Tronc_commun,19,2003,M,<5km,NON,9.4,10.59,8.78,11.95,10.11,10.68,10.4,20,60,0,420,343,3,1
20G29795,2022/2023,3,ING,GCI,19,2003,M,>15km,NON,12.23,11.27,10.56,11.31,11.65,11.01,11.33,19,57,1,440,362,4,1
20G69770,2022/2023,1,ING,Tronc_commun,20,2002,M,>15km,NON,6.87,6.15,3.08,3.99,6.44,3.62,5.03,8,24,12,420,283,3,0
20G93588,2022/2023,3,ING,GM,21,2001,F,>15km,NON,12.37,10.1,11.88,10.89,11.01,11.28,11.15,18,54,2,440,394,4,1
20G73944,2022/2023,3,ING,GAM,19,2003,M,>15km,NON,11.25,12.86,12.32,11.79,12.22,12.0,12.11,18,54,2,430,329,4,1
20G82305,2022/2023,3,ING,GIT,20,2002,M,<5km,NON,17.3,18.15,15.69,17.92,17.81,17.03,17.42,20,60,0,430,341,5,1
20G79391,2022/2023,2,ING,Tronc_commun,21,2001,F,>15km,NON,10.09,7.65,10.21,10.55,8.63,10.42,9.52,18,54,2,420,248,3,0
20G47576,2022/2023,3,ING,GCI,19,2003,F,<5km,NON,9.28,9.2,11.77,10.46,9.23,10.99,10.11,19,57,1,440,426,4,1
20G24026,2022/2023,3,ING,GESI,19,2003,M,<5km,NON,13.96,14.33,13.63,11.67,14.18,12.46,13.32,19,57,1,425,402,5,1
20G35156,2022/2023,3,ING,GAM,21,2001,F,5-15km,NON,9.98,10.37,11.76,11.92,10.22,11.85,11.04,20,60,0,430,406,4,1
20G45038,2022/2023,2,ING,Tronc_commun,20,2002,M,5-15km,NON,9.31,10.91,12.01,11.77,10.27,11.87,11.07,19,57,1,420,364,3,1
20G63218,2022/2023,3,ING,GESI,20,2002,M,>15km,NON,8.28,10.2,8.46,10.57,9.43,9.72,9.58,12,36,8,425,309,5,0
20G39603,2022/2023,1,ING,Tronc_commun,20,2002,M,>15km,NON,16.06,19.31,18.71,18.26,18.01,18.44,18.23,19,57,1,420,394,3,1
20G95182,2022/2023,3,ING,GAM,19,2003,M,5-15km,NON,8.75,9.65,8.59,9.36,9.29,9.06,9.17,19,57,1,430,201,4,0
20G59710,2022/2023,3,ING,GESI,20,2002,F,<5km,NON,12.35,13.48,10.45,11.4,13.03,11.02,12.02,20,60,0,425,346,5,1
20G93459,2022/2023,3,ING,GPR,19,2003,M,<5km,OUI,5.59,4.03,4.64,5.13,4.65,4.93,4.79,17,51,3,425,283,4,0
20G75517,2022/2023,2,ING,Tronc_commun,20,2002,F,>15km,NON,7.72,8.6,7.48,5.75,8.25,6.44,7.34,9,27,11,420,191,3,0
20G22499,2022/2023,3,ING,GM,21,2001,M,<5km,NON,14.44,15.69,14.68,14.7,15.19,14.69,14.94,19,57,1,440,346,4,1
20G37710,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,7.16,4.83,4.88,4.95,5.77,4.92,5.34,8,24,12,420,241,3,0
20G16102,2022/2023,3,ING,Météorologie,19,2003,F,>15km,NON,15.3,17.25,14.71,18.7,16.47,17.1,16.79,20,60,0,415,381,4,1
20G83860,2022/2023,3,ING,GCI,21,2001,M,<5km,NON,8.52,6.9,6.78,10.09,7.55,8.76,8.16,9,27,11,440,199,4,0
20G51220,2022/2023,3,ING,GCI,19,2003,M,>15km,NON,13.11,14.12,12.64,14.84,13.71,13.96,13.84,19,57,1,440,338,4,1
20G28899,2022/2023,2,ING,Tronc_commun,21,2001,F,<5km,NON,4.28,4.77,4.49,5.79,4.57,5.27,4.92,17,51,3,420,228,3,0
20G49226,2022/2023,3,ING,GCI,19,2003,M,>15km,NON,9.64,10.93,11.27,10.61,10.41,10.87,10.64,19,57,1,440,357,4,1
20G61007,2022/2023,2,ING,Tronc_commun,21,2001,F,5-15km,NON,18.19,19.48,19.5,18.73,18.97,19.04,19.0,19,57,1,420,407,3,1
20G28343,2022/2023,3,ING,GQHSE,21,2001,M,>15km,NON,13.59,14.47,14.01,11.65,14.12,12.59,13.36,19,57,1,420,319,4,1
20G55332,2022/2023,3,ING,GCI,19,2003,M,5-15km,NON,12.59,10.6,12.51,10.59,11.39,11.36,11.38,19,57,1,440,369,4,1
20G40427,2022/2023,3,ING,GIT,19,2003,F,>15km,NON,17.19,16.12,18.46,16.66,16.55,17.38,16.96,20,60,0,430,336,5,1
20G90460,2022/2023,3,ING,GCI,21,2001,F,5-15km,OUI,12.86,14.34,14.45,13.41,13.75,13.82,13.79,20,60,0,440,256,4,1
20G13883,2022/2023,3,ING,GQHSE,21,2001,F,5-15km,NON,17.86,17.35,18.8,17.65,17.55,18.11,17.83,19,57,1,420,351,4,1
20G74304,2022/2023,3,ING,GQHSE,19,2003,F,>15km,NON,17.89,15.41,15.2,16.3,16.4,15.86,16.13,19,57,1,420,348,4,1
20G59207,2022/2023,3,ING,GIT,20,2002,M,>15km,NON,16.02,16.46,14.79,14.98,16.28,14.9,15.59,19,57,1,430,341,5,1
20G86791,2022/2023,3,ING,GAM,21,2001,F,<5km,NON,9.95,13.49,11.9,11.27,12.08,11.52,11.8,18,54,2,430,415,4,1
20G91083,2022/2023,3,ING,GIT,20,2002,M,>15km,NON,18.3,18.53,18.8,19.01,18.44,18.92,18.68,20,60,0,430,410,5,1
20G19634,2022/2023,3,ING,Météorologie,19,2003,F,<5km,NON,15.24,14.39,14.83,14.5,14.73,14.63,14.68,20,60,0,415,388,4,1
20G59807,2022/2023,3,ING,GCI,21,2001,M,>15km,OUI,9.96,9.64,9.03,12.13,9.77,10.89,10.33,20,60,0,440,286,4,1
20G61068,2022/2023,3,ING,GM,20,2002,F,<5km,NON,11.43,12.25,13.89,11.62,11.92,12.53,12.23,19,57,1,440,394,4,1
20G21995,2022/2023,2,ING,Tronc_commun,19,2003,F,5-15km,NON,13.13,12.84,13.71,13.18,12.96,13.39,13.17,18,54,2,420,329,3,1
20G57175,2022/2023,2,ING,Tronc_commun,20,2002,M,<5km,NON,16.44,14.87,13.27,16.56,15.5,15.24,15.37,19,57,1,420,393,3,1
20G21442,2022/2023,3,ING,GE,19,2003,F,5-15km,NON,11.42,15.35,12.35,14.99,13.77,13.94,13.86,18,54,2,435,339,4,1
20G83005,2022/2023,3,ING,GMP,21,2001,F,<5km,NON,4.23,7.65,3.37,4.27,6.28,3.91,5.1,18,54,2,435,210,4,0
20G13442,2022/2023,3,ING,GE,19,2003,F,>15km,NON,14.18,12.47,10.68,13.27,13.16,12.24,12.7,18,54,2,435,390,4,1
20G22198,2022/2023,3,ING,GMP,21,2001,F,5-15km,NON,13.16,14.59,14.85,16.56,14.02,15.88,14.95,19,57,1,435,395,4,1
20G11617,2022/2023,3,ING,GCI,20,2002,F,5-15km,NON,11.26,12.4,14.81,15.29,11.94,15.1,13.52,19,57,1,440,413,4,1
20G21101,2022/2023,3,ING,GESI,21,2001,M,>15km,NON,12.6,13.05,10.87,13.98,12.87,12.74,12.8,18,54,2,425,364,5,1
20G78302,2022/2023,3,ING,GIT,19,2003,F,<5km,NON,14.85,17.68,17.84,16.16,16.54,16.83,16.69,19,57,1,430,340,5,1
20G28198,2022/2023,3,ING,GM,20,2002,F,5-15km,NON,4.22,6.34,3.34,5.21,5.49,4.46,4.98,18,54,2,440,312,4,0
20G74634,2022/2023,1,ING,Tronc_commun,19,2003,M,<5km,NON,11.73,14.6,12.47,14.22,13.45,13.52,13.49,15,45,5,420,381,3,1
20G66973,2022/2023,3,ING,GM,20,2002,F,5-15km,NON,10.83,12.27,11.07,9.65,11.69,10.22,10.96,18,54,2,440,399,4,1
20G73469,2022/2023,3,ING,Météorologie,19,2003,F,5-15km,OUI,13.33,11.32,10.73,10.29,12.12,10.46,11.29,20,60,0,415,235,4,1
20G42321,2022/2023,3,ING,Météorologie,21,2001,F,>15km,NON,16.11,16.05,14.56,15.16,16.07,14.92,15.5,18,54,2,415,334,4,1
20G90828,2022/2023,2,ING,Tronc_commun,19,2003,F,<5km,NON,13.87,13.28,14.75,13.62,13.52,14.07,13.79,20,60,0,420,322,3,1
20G27758,2022/2023,1,ING,Tronc_commun,20,2002,M,5-15km,OUI,10.82,9.93,8.15,8.46,10.29,8.33,9.31,18,54,2,420,268,3,1
20G53544,2022/2023,1,ING,Tronc_commun,21,2001,F,5-15km,NON,10.72,9.61,11.09,9.37,10.06,10.06,10.06,19,57,1,420,402,3,1
20G67700,2022/2023,3,ING,Météorologie,20,2002,F,>15km,NON,9.02,10.64,9.68,10.58,9.99,10.22,10.11,20,60,0,415,357,4,1
20G87908,2022/2023,3,ING,GMP,19,2003,F,5-15km,NON,11.1,12.23,12.72,13.21,11.77,13.01,12.39,18,54,2,435,357,4,1
20G89064,2022/2023,2,ING,Tronc_commun,21,2001,M,5-15km,NON,18.05,17.44,19.38,18.94,17.68,19.12,18.4,20,60,0,420,330,3,1
20G51180,2022/2023,3,ING,GAM,19,2003,F,5-15km,NON,15.86,18.14,16.35,18.18,17.23,17.45,17.34,18,54,2,430,342,4,1
20G48200,2022/2023,3,ING,Météorologie,21,2001,F,>15km,NON,6.82,9.55,9.83,8.66,8.46,9.13,8.8,18,54,2,415,245,4,0
20G41775,2022/2023,3,ING,GCI,20,2002,F,5-15km,NON,16.76,15.65,17.14,18.48,16.09,17.95,17.02,20,60,0,440,386,4,1
20G61502,2022/2023,2,ING,Tronc_commun,20,2002,M,>15km,NON,6.04,8.73,7.57,9.46,7.65,8.71,8.18,16,48,4,420,196,3,0
20G36188,2022/2023,3,ING,GAM,21,2001,M,>15km,NON,13.28,11.31,11.9,11.22,12.1,11.49,11.8,19,57,1,430,413,4,1
20G82102,2022/2023,3,ING,GPR,19,2003,F,>15km,NON,12.47,11.44,12.17,12.18,11.85,12.17,12.01,18,54,2,425,355,4,1
20G37479,2022/2023,3,ING,GE,20,2002,F,>15km,NON,16.14,16.25,15.57,18.05,16.21,17.06,16.63,19,57,1,435,360,4,1
20G19064,2022/2023,3,ING,GIT,20,2002,F,<5km,NON,7.95,9.33,9.34,9.52,8.78,9.45,9.12,17,51,3,430,283,5,0
20G93012,2022/2023,3,ING,GAM,20,2002,M,5-15km,NON,13.61,14.49,16.48,13.64,14.14,14.78,14.46,18,54,2,430,409,4,1
20G96332,2022/2023,3,ING,GM,19,2003,F,5-15km,NON,9.23,12.62,8.46,9.03,11.27,8.8,10.03,19,57,1,440,356,4,1
20G19694,2022/2023,3,ING,GQHSE,20,2002,F,>15km,NON,6.46,8.28,5.6,8.33,7.55,7.24,7.39,19,57,1,420,201,4,0
20G62534,2022/2023,3,ING,GAM,21,2001,F,>15km,NON,14.02,15.25,15.47,17.2,14.76,16.51,15.63,19,57,1,430,413,4,1
20G14818,2022/2023,2,ING,Tronc_commun,20,2002,M,<5km,NON,14.75,12.32,12.52,13.81,13.29,13.3,13.29,18,54,2,420,348,3,1
20G42536,2022/2023,3,ING,GIT,21,2001,F,<5km,NON,18.35,16.75,17.19,19.46,17.39,18.56,17.97,19,57,1,430,366,5,1
20G94803,2022/2023,3,ING,GIT,21,2001,M,>15km,NON,15.9,13.6,15.88,14.44,14.52,15.02,14.77,20,60,0,430,357,5,1
20G94545,2022/2023,3,ING,GM,21,2001,F,5-15km,NON,17.62,17.98,16.11,19.16,17.84,17.94,17.89,19,57,1,440,387,4,1
20G66420,2022/2023,3,ING,GM,19,2003,M,<5km,NON,16.14,15.14,15.61,16.16,15.54,15.94,15.74,18,54,2,440,412,4,1
20G43913,2022/2023,3,ING,GIT,19,2003,M,5-15km,NON,11.86,13.34,13.82,11.47,12.75,12.41,12.58,18,54,2,430,365,5,1
20G59036,2022/2023,3,ING,GM,20,2002,F,>15km,NON,16.04,17.75,17.26,16.19,17.06,16.62,16.84,18,54,2,440,366,4,1
20G87147,2022/2023,3,ING,GE,21,2001,M,5-15km,NON,7.8,8.93,8.96,11.03,8.48,10.2,9.34,14,42,6,435,317,4,0
20G13219,2022/2023,3,ING,GPR,20,2002,M,5-15km,NON,16.0,14.1,15.46,16.26,14.86,15.94,15.4,19,57,1,425,391,4,1
20G64522,2022/2023,3,ING,GPR,19,2003,M,>15km,OUI,14.14,14.68,16.68,16.59,14.47,16.62,15.55,18,54,2,425,341,4,1
20G28569,2022/2023,3,ING,GCI,20,2002,F,5-15km,OUI,11.52,14.94,10.78,12.65,13.57,11.9,12.74,19,57,1,440,248,4,1
20G69681,2022/2023,3,ING,GE,19,2003,F,5-15km,NON,15.03,12.45,11.53,13.19,13.48,12.53,13.0,20,60,0,435,393,4,1
20G72411,2022/2023,3,ING,GCI,19,2003,F,>15km,NON,12.01,14.17,14.12,15.19,13.31,14.76,14.03,20,60,0,440,405,4,1
20G69303,2022/2023,2,ING,Tronc_commun,20,2002,M,5-15km,NON,11.13,12.97,11.03,13.52,12.23,12.53,12.38,18,54,2,420,376,3,1
20G15856,2022/2023,2,ING,Tronc_commun,21,2001,M,<5km,NON,11.6,11.17,10.59,12.53,11.34,11.76,11.55,18,54,2,420,387,3,1
20G54967,2022/2023,3,ING,GMP,21,2001,M,>15km,NON,14.03,14.17,14.26,15.31,14.11,14.89,14.5,20,60,0,435,346,4,1
20G31542,2022/2023,1,ING,Tronc_commun,21,2001,M,>15km,NON,4.85,5.43,3.78,4.86,5.2,4.43,4.82,10,30,10,420,278,3,0
20G32865,2022/2023,3,ING,GQHSE,21,2001,M,5-15km,NON,14.01,15.71,12.63,12.64,15.03,12.64,13.83,19,57,1,420,335,4,1
20G83380,2022/2023,3,ING,GE,20,2002,F,<5km,NON,17.21,17.14,16.03,19.58,17.17,18.16,17.67,18,54,2,435,397,4,1
20G63090,2022/2023,3,ING,GPR,21,2001,M,<5km,NON,16.27,18.87,18.18,19.41,17.83,18.92,18.37,19,57,1,425,360,4,1
20G93948,2022/2023,3,ING,GCI,21,2001,F,5-15km,NON,12.79,14.6,11.83,12.64,13.88,12.32,13.1,19,57,1,440,420,4,1
20G13826,2022/2023,3,ING,GMP,21,2001,M,5-15km,NON,12.57,14.71,15.53,13.2,13.85,14.13,13.99,18,54,2,435,397,4,1
20G87621,2022/2023,3,ING,GAM,20,2002,F,<5km,NON,12.48,13.45,13.41,12.03,13.06,12.58,12.82,20,60,0,430,366,4,1
20G38153,2022/2023,3,ING,GQHSE,19,2003,F,>15km,NON,10.2,11.43,11.23,12.16,10.94,11.79,11.37,18,54,2,420,334,4,1
20G18200,2022/2023,3,ING,GCI,21,2001,M,>15km,NON,2.89,2.82,2.38,5.53,2.85,4.27,3.56,16,48,4,440,182,4,0
20G34505,2022/2023,2,ING,Tronc_commun,20,2002,F,<5km,NON,11.76,10.52,8.18,8.3,11.01,8.25,9.63,13,39,7,420,203,3,0
20G69972,2022/2023,3,ING,GMP,19,2003,F,>15km,NON,14.23,15.07,13.77,17.3,14.73,15.89,15.31,20,60,0,435,410,4,1
20G74157,2022/2023,2,ING,Tronc_commun,21,2001,F,>15km,OUI,13.31,12.37,14.85,15.54,12.75,15.26,14.0,19,57,1,420,250,3,1
20G60939,2022/2023,3,ING,Météorologie,21,2001,F,>15km,OUI,14.93,13.6,13.61,14.37,14.13,14.07,14.1,19,57,1,415,302,4,1
20G24972,2022/2023,3,ING,GIT,20,2002,F,5-15km,NON,15.11,14.85,16.91,16.18,14.95,16.47,15.71,20,60,0,430,398,5,1
20G90918,2022/2023,2,ING,Tronc_commun,19,2003,F,>15km,NON,18.97,18.12,16.87,17.19,18.46,17.07,17.76,19,57,1,420,370,3,1
20G87354,2022/2023,3,ING,GESI,19,2003,M,5-15km,NON,13.19,15.11,12.53,13.65,14.34,13.2,13.77,18,54,2,425,382,5,1
